post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47655408.0,Show HN: I built a tiny LLM to demystify how language models work,technology,646,88,armanified,2026-04-06 19:24:58,0.13601236476043277,True
47658146.0,France pulls last gold held in US for $15B gain,technology,309,176,teleforce,2026-04-06 19:24:58,0.567741935483871,True
47652007.0,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,161,13,karimf,2026-04-06 19:24:58,0.08024691358024691,False
47656981.0,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,67,21,stevebmark,2026-04-06 19:24:58,0.3088235294117647,False
47651540.0,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,317,77,vbtechguy,2026-04-06 19:24:58,0.24213836477987422,True
47655367.0,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,108,17,ikessler,2026-04-06 19:24:58,0.1559633027522936,False
47655466.0,Employers use your personal data to figure out the lowest salary you'll accept,technology,309,168,thisislife2,2026-04-06 19:24:58,0.5419354838709678,True
47650312.0,A tail-call interpreter in (nightly) Rust,technology,178,42,g0xA52A2A,2026-04-06 19:24:58,0.2346368715083799,False
47648828.0,"Eight years of wanting, three months of building with AI",technology,836,262,brilee,2026-04-06 19:24:58,0.3130227001194743,True
47649742.0,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,193,26,desideratum,2026-04-06 19:24:58,0.13402061855670103,True
47656335.0,Does coding with LLMs mean more microservices?,technology,49,46,jer0me,2026-04-06 19:24:58,0.92,False
47656659.0,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,176,51,MoltenMonster,2026-04-06 19:24:58,0.288135593220339,False
47640728.0,Show HN: A game where you build a GPU,technology,924,179,Jaso1024,2026-04-06 19:24:58,0.1935135135135135,True
47658388.0,NIMBY Rails,technology,27,3,altilunium,2026-04-06 19:24:58,0.10714285714285714,False
47652549.0,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,56,28,alvivanco,2026-04-06 19:24:58,0.49122807017543857,False
47640380.0,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,512,231,naves,2026-04-06 19:24:58,0.4502923976608187,True
47655058.0,OpenAI's fall from grace as investors race to Anthropic,technology,177,118,1vuio0pswjnm7,2026-04-06 19:24:58,0.6629213483146067,False
47651479.0,From birds to brains: My path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06 19:24:58,0.0,False
47633396.0,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1080,819,firloop,2026-04-06 19:24:58,0.757631822386679,True
47637757.0,Embarrassingly simple self-distillation improves code generation,technology,644,197,Anon84,2026-04-06 19:24:58,0.3054263565891473,True
47657198.0,Scientists found a protein that drives brain aging – and how to stop it,technology,17,5,mikhael,2026-04-06 19:24:58,0.2777777777777778,False
47658215.0,The end of password pain: building frictionless authentication at the Guardian,technology,6,2,Tomte,2026-04-06 19:24:58,0.2857142857142857,False
47655155.0,'Cognitive Surrender' Is a New and Useful Term for How AI Melts Brains,technology,40,10,mikhael,2026-04-06 19:24:58,0.24390243902439024,False
47645432.0,Introduction to Computer Music (2009) [pdf],technology,226,78,luu,2026-04-06 19:24:58,0.3436123348017621,True
47655480.0,Make Humans Analog Again,technology,6,0,muunbo,2026-04-06 19:24:58,0.0,False
47647788.0,The threat is comfortable drift toward not understanding what you're doing,worldnews,892,586,zaikunzhang,2026-04-06 19:25:00,0.6562150055991042,True
47636765.0,Endian wars and anti-portability: this again?,worldnews,44,54,awilfox,2026-04-06 19:25:00,1.2,False
47653036.0,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,38,12,anigbrowl,2026-04-06 19:25:00,0.3076923076923077,False
47656682.0,Winners of the 2026 Kokuyo Design Awards,worldnews,50,15,zdw,2026-04-06 19:25:00,0.29411764705882354,False
47596739.0,Mercor says it was hit by cyberattack tied to compromise LiteLLM,worldnews,151,45,jackson-mcd,2026-04-06 19:25:00,0.29605263157894735,False
47615002.0,Qwen3.6-Plus: Towards real world agents,worldnews,589,207,pretext,2026-04-06 19:25:00,0.35084745762711866,True
47645817.0,How Pope Leo is pushing back on divine justification of war,worldnews,73,40,1659447091,2026-04-06 19:25:00,0.5405405405405406,False
47650273.0,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 19:25:00,0.5,False
47627419.0,The Axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-06 19:25:00,0.22916666666666666,False
47625311.0,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-06 19:25:00,0.5217391304347826,False
47615756.0,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 19:25:00,0.4983164983164983,True
47651140.0,Ask HN: Where are all the disruptive software that AI promised?,worldnews,16,14,p-o,2026-04-06 19:25:00,0.8235294117647058,False
47644934.0,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-06 19:25:00,0.2857142857142857,False
47653816.0,UK intelligence censored report on global warming and homeland security,worldnews,95,54,ewidar,2026-04-06 19:25:00,0.5625,False
